country_name,population_density,agricultural_land,land_area,armed_forces,birth_rate,capital_city,co2_emissions,cpi,fertility_rate,forested_area,gasoline_price,gdp,infant_mortality,largest_city,life_expectancy,minimum_wage,official_language,out_of_pocket_health_expenditure,population,population_labor_force,tax_revenue,total_tax_rate,unemployment_rate,urban_population,latitude,longitude
Nigeria,226,0.777,923768,215000,0.3791,Abuja,120369,267.51,5.39,0.07200000000000000,0.46,448120428859.00,0.757,Lagos,0.5430000000000000,0.54,English,0.722,200963599,0.529,0.015,0.348,0.081,102806948,9.081999,8.675277
Oman,16,0.046,309500,47000,0.19190000000000000,Muscat,63457,113.53,2.89,0,0.45,76983094928.00,0.098,Seeb,0.7760000000000000,4.33,Arabic,0.064,5266535,0.7240000000000000,0.025,0.27400000000000000,0.026700000000000000,4250777,21.4735329,55.975413
Pakistan,287,0.478,796095,936000,0.2825,Islamabad,201150,182.32,3.51,0.019,0.79,304400000000.00,0.5720000000000000,Karachi,0.6710000000000000,0.69,Urdu,0.665,216565318,0.526,0.092,0.33900000000000000,0.044500000000000000,79927762,30.375321,69.345116
Papua New Guinea,20,0.026000000000000000,462840,4000,0.2707,Port Moresby,7536,155.99,3.56,0.741,1.36,24969611435.00,0.38,Port Moresby,0.643,1.16,Tok Pisin,0.058000000000000000,8776109,0.47200000000000000,0.136,0.371,0.0246,1162834,-6.314993,143.95555
Paraguay,18,0.551,406752,27000,0.2057,Asunci��,7407,143.82000000000000,2.43,0.377,1.04,38145288940.00,0.172,Ciudad del Este,0.741,1.55,Spanish,0.365,7044636,0.721,0.1,0.35,0.0481,4359150,-23.442503,-58.443832
Peru,26,0.185,1285216,158000,0.1795,Lima,57414,129.78,2.25,0.5770000000000000,0.99,226848050820.00,0.111,Lima,0.765,1.28,Spanish,0.309,32510453,0.7760000000000000,0.14300000000000000,0.368,0.0331,25390339,-9.189967,-75.015152
Philippines,368,0.41700000000000000,300000,153000,0.20550000000000000,Manila,122287,129.61,2.58,0.278,0.86,376795508680.00,0.225,Manila,0.711,1.12,English,0.535,108116615,0.596,0.14,0.431,0.0215,50975903,12.879721,121.774017
Poland,124,0.469,312685,191000,0.102,Warsaw,299037,114.11,1.46,0.309,1.07,592164400688.00,0.038,Warsaw,0.7760000000000000,2.93,Polish,0.23200000000000000,37970874,0.5670000000000000,0.174,0.408,0.0347,22796574,51.919438,19.145136
Portugal,111,0.395,92212,52000,0.085,Lisbon,48742,110.62,1.38,0.34600000000000000,1.54,237686075635.00,0.031,Lisbon,0.813,3.78,Portuguese,0.27700000000000000,10269417,0.588,0.228,0.39800000000000000,0.0633,6753579,39.399872,-8.224454
Romania,84,0.588,238391,126000,0.096,Bucharest,69259,123.78,1.71,0.301,1.16,250077444017.00,0.061,Bucharest,0.754,2.25,Romanian,0.213,19356544,0.547,0.146,0.2,0.0398,10468793,45.943161,24.96676
Russia,9,0.133,17098240,1454000,0.115,Moscow,1732027,180.75,1.57,0.498,0.59,1699876578871.00,0.061,Moscow,0.727,0.53,Russian,0.364,144373535,0.618,0.114,0.462,0.045900000000000000,107683889,61.52401,105.318756
Saudi Arabia,16,0.8080000000000000,2149690,252000,0.17800000000000000,Riyadh,563449,118.4,2.32,0.005,0.24,792966838162.00,0.06,Riyadh,0.75,3.85,Arabic,0.15,34268528,0.5590000000000000,0.08900000000000000,0.157,0.0593,28807838,23.885942,45.079162
Senegal,87,0.461,196722,19000,0.3452,Dakar,10902,109.25,4.63,0.428,1.14,23578084052.00,0.318,Pikine,0.677,0.31,French,0.442,16296364,0.457,0.163,0.44800000000000000,0.066,7765706,14.497401,-14.452362
